Time (Sec);S11;S12;S14;S26;S3;S38;S4;S5;S8;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;
0.1266692814321485;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.952236800003;19159.992322399998;19159.967968;19159.987112799998;19159.9936432;
0.2266718961976304;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.943105600007;19159.992322399998;19159.964993600002;19159.987112799998;19159.9873864;
0.3266745109631123;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.93397440001;19159.992322399998;19159.962019200004;19159.987112799998;19159.9811296;
0.4266771257285941;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.924843200013;19159.992322399998;19159.959044800005;19159.987112799998;19159.9748728;
0.526679740494076;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.915712000016;19159.992322399998;19159.956070400007;19159.987112799998;19159.968616000002;
0.6266823552595577;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.90658080002;19159.992322399998;19159.95309600001;19159.987112799998;19159.962359200003;
0.7266849700250395;19159.9494272;19159.9866392;19159.9866392;19159.9866392;19159.897449600023;19159.992322399998;19159.95012160001;19159.987112799998;19159.956102400003;
0.8266806316941072;19159.9494272;19159.9866392;19159.9866392;19159.9865392;19159.888318400026;19159.992322399998;19159.94714720001;19159.987112799998;19159.949945600005;
0.9266901995560031;19159.9494272;19159.9866392;19159.9866392;19159.9732784;19159.85952000003;19159.992322399998;19159.937766400013;19159.987112799998;19159.943588800004;
0.9999999999999999;19159.9494272;19159.9866392;19159.9866392;19159.9732784;19159.850388800034;19159.978014399996;19159.934792000015;19159.987112799998;19159.937432000006;
1.1266935226072574;19159.889020800005;19159.9732784;19159.9732784;19159.9732784;19159.82159040004;19159.978014399996;19159.905734400018;19159.973751999998;19159.931075200006;
1.22669423089303;19159.889020800005;19159.9732784;19159.9732784;19159.9732784;19159.812459200042;19159.978014399996;19159.90276000002;19159.973751999998;19159.924818400006;
1.3266949391788025;19159.889020800005;19159.9732784;19159.9732784;19159.9732784;19159.803328000045;19159.978014399996;19159.89978560002;19159.973751999998;19159.918561600007;
1.4266956474645751;19159.889020800005;19159.9732784;19159.9732784;19159.9732784;19159.79419680005;19159.978014399996;19159.896811200022;19159.973751999998;19159.912304800007;
1.5266963557503477;19159.889020800005;19159.9732784;19159.9732784;19159.9732784;19159.785065600052;19159.978014399996;19159.893836800024;19159.973751999998;19159.906048000008;
1.6266945967215478;19159.889020800005;19159.9732784;19159.9732784;19159.9731784;19159.775934400055;19159.978014399996;19159.890862400025;19159.973751999998;19159.89989120001;
1.7266977723218928;19159.889020800005;19159.9732784;19159.9732784;19159.9599176;19159.74713600006;19159.978014399996;19159.881481600027;19159.973751999998;19159.89353440001;
1.8266984806076654;19159.889020800005;19159.9732784;19159.9732784;19159.9599176;19159.738004800063;19159.978014399996;19159.87850720003;19159.973751999998;19159.88727760001;
1.926699188893438;19159.889020800005;19159.9732784;19159.9732784;19159.9599176;19159.728873600066;19159.978014399996;19159.87553280003;19159.973751999998;19159.88102080001;
