Time (Sec);S11;S12;S14;S26;S3;S38;S4;S40;S41;S42;S46;S47;S48;S5;S52;S8;
0.0;1000.0;999.9999;999.9999;999.9999;1000.0;999.9999;1000.0;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;
1.0;999.9384000000003;999.9119000000001;999.5599;999.5599;999.9296000000004;999.9119000000001;999.9824000000001;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
1.9999999999999998;999.9296000000004;999.9119000000001;999.5599;999.5599;999.9208000000004;999.9119000000001;999.9648000000002;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
3.0;999.9208000000004;999.9119000000001;999.5599;999.5599;999.9120000000005;999.9119000000001;999.9472000000003;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
3.0053081346087516;999.9208000000004;999.9119000000001;999.5599;999.5599;999.9120000000005;999.9119000000001;999.9472000000003;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
4.0;999.9120000000005;999.9119000000001;999.5599;999.5599;999.9032000000005;999.9119000000001;999.9296000000004;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
4.999999999999999;999.9032000000005;999.9119000000001;999.5599;999.5599;999.8944000000006;999.9119000000001;999.9120000000005;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
5.005277075795449;999.9032000000005;999.9119000000001;999.5599;999.5599;999.8944000000006;999.9119000000001;999.9120000000005;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
6.0;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8856000000006;999.9119000000001;999.8944000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
7.0;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
7.005246016982148;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
8.0;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
9.0;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7359;
9.99915175907197;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.7358;
9.99915175907197;999.8944000000006;999.9119000000001;999.5599;999.5599;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
11.0;999.8592000000008;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8680000000007;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
12.0;999.8504000000008;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8592000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
12.005463482406034;999.8504000000008;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8592000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
13.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
14.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
15.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
16.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
17.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
18.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
19.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4718;
19.999367305109686;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.4717;
19.999367305109686;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.2077;
20.0;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8238000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.2077;
20.00004450376275;999.8416000000009;999.8238000000001;999.5599;999.5599;999.8592000000008;999.8238000000001;999.8504000000008;999.8237000000001;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.2077;
21.0;999.8064000000011;999.7357000000002;999.5599;999.5599;999.8416000000009;999.7357000000002;999.8328000000009;999.7357000000002;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.2077;
21.004667775703034;999.8064000000011;999.7357000000002;999.5599;999.5599;999.8416000000009;999.7357000000002;999.8328000000009;999.7357000000002;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.2077;
22.0;999.7976000000011;999.7357000000002;999.5599;999.5599;999.8416000000009;999.7357000000002;999.824000000001;999.7357000000002;999.3839;999.5599;999.3839;999.3839;999.5599;999.3839;999.3839;999.2077;
