Time (Sec);S11;S12;S26;S3;S38;S4;S40;S41;S42;S43;S44;S45;S46;S47;S8;S56;S58;
0.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.9999;19159.9999;19160.0;19159.9999;19160.0;
0.12666475625280832;19158.015999999996;19159.7759;19158.8799;19157.10400000002;19159.3599;19157.56000000001;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.8958;19159.992322399998;19159.9866392;
0.22666284583895;19158.015999999996;19159.7759;19158.8799;19156.896000000022;19159.3599;19157.45600000001;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.791699999998;19159.992322399998;19159.9866392;
0.32666093542509167;19158.015999999996;19159.7759;19158.8799;19156.688000000024;19159.3599;19157.35200000001;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.687599999997;19159.992322399998;19159.9866392;
0.4266590250112333;19158.015999999996;19159.7759;19158.8799;19156.480000000025;19159.3599;19157.24800000001;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.583499999997;19159.992322399998;19159.9866392;
0.526657114597375;19158.015999999996;19159.7759;19158.8799;19156.272000000026;19159.3599;19157.14400000001;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.479399999997;19159.992322399998;19159.9866392;
0.6266552041835166;19158.015999999996;19159.7759;19158.8799;19156.064000000028;19159.3599;19157.04000000001;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.375299999996;19159.992322399998;19159.9866392;
0.7266532937696583;19158.015999999996;19159.7759;19158.8799;19155.85600000003;19159.3599;19156.936000000012;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.271199999996;19159.992322399998;19159.9866392;
0.8266513833557999;19158.015999999996;19159.7759;19158.8799;19155.64800000003;19159.3599;19156.832000000013;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.167099999995;19159.992322399998;19159.9866392;
0.9266494729419416;19158.015999999996;19159.7759;19158.8799;19155.44000000003;19159.3599;19156.728000000014;19158.8799;19158.8799;19158.8799;19158.8799;19159.3599;19159.3599;19159.3599;19159.3599;19159.062999999995;19159.992322399998;19159.9866392;
1.0;19158.015999999996;19159.7759;19158.8799;19155.232000000033;19159.3599;19156.624000000014;19158.8799;19158.8799;19158.8799;19158.8799;19158.159799999998;19159.3599;19158.159799999998;19158.159799999998;19158.958999999995;19159.992322399998;19159.9866392;
1.1266503920416933;19154.68799999998;19159.5518;19157.7598;19152.336000000054;19158.159799999998;19153.512000000017;19157.7598;19157.7598;19157.7598;19157.7598;19158.159799999998;19158.159799999998;19158.159799999998;19158.159799999998;19158.854799999994;19159.978014399996;19159.9732784;
1.226653221555304;19154.68799999998;19159.5518;19157.7598;19152.128000000055;19158.159799999998;19153.408000000018;19157.7598;19157.7598;19157.7598;19157.7598;19158.159799999998;19158.159799999998;19158.159799999998;19158.159799999998;19158.750699999993;19159.978014399996;19159.9732784;
1.326656051068915;19154.68799999998;19159.5518;19157.7598;19151.920000000056;19158.159799999998;19153.30400000002;19157.7598;19157.7598;19157.7598;19157.7598;19158.159799999998;19158.159799999998;19158.159799999998;19158.159799999998;19158.646599999993;19159.978014399996;19159.9732784;
1.4266588805825258;19154.68799999998;19159.5518;19157.7598;19151.712000000058;19158.159799999998;19153.20000000002;19157.7598;19157.7598;19157.7598;19157.7598;19158.159799999998;19158.159799999998;19158.159799999998;19158.159799999998;19158.542499999992;19159.978014399996;19159.9732784;
