Time (Sec);S11;S12;S26;S3;S38;S4;S5;S8;S40;S41;S42;S43;S44;S45;S46;
0.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;
0.1266667516153223;997.3119999999994;999.7759;998.8799;997.5679999999995;999.7759;997.4399999999995;999.7839;999.8958;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.22666683656397796;997.3119999999994;999.7759;998.8799;997.3599999999994;999.7759;997.3359999999994;999.7839;999.7917;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.3266669215126336;997.3119999999994;999.7759;998.8799;997.1519999999994;999.7759;997.2319999999994;999.7839;999.6876;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.4266670064612892;997.3119999999994;999.7759;998.8799;996.9439999999993;999.7759;997.1279999999994;999.7839;999.5835;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.5266670914099448;997.3119999999994;999.7759;998.8799;996.7359999999992;999.7759;997.0239999999993;999.7839;999.4793999999999;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.6266671763586005;997.3119999999994;999.7759;998.8799;996.5279999999991;999.7759;996.9199999999993;999.7839;999.3752999999999;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.7266672613072561;997.3119999999994;999.7759;998.8799;996.319999999999;999.7759;996.8159999999992;999.7839;999.2711999999999;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.8266673462559118;997.3119999999994;999.7759;998.8799;996.111999999999;999.7759;996.7119999999992;999.7839;999.1670999999999;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
0.9266674312045674;997.3119999999994;999.7759;998.8799;995.9039999999989;999.7759;996.6079999999992;999.7839;999.0629999999999;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
1.0000000000000002;997.3119999999994;999.7759;998.8799;995.6959999999988;999.7759;996.5039999999991;999.7839;998.9589999999998;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;999.7759;
1.126662859794017;994.6239999999989;999.5518;997.7598;993.2479999999982;999.5518;993.9359999999986;999.5598;998.8547999999998;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.2266582034348108;994.6239999999989;999.5518;997.7598;993.0399999999981;999.5518;993.8319999999985;999.5598;998.7506999999998;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.3266535470756047;994.6239999999989;999.5518;997.7598;992.8319999999981;999.5518;993.7279999999985;999.5598;998.6465999999998;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.4266488907163986;994.6239999999989;999.5518;997.7598;992.623999999998;999.5518;993.6239999999984;999.5598;998.5424999999998;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.5266442343571924;994.6239999999989;999.5518;997.7598;992.4159999999979;999.5518;993.5199999999984;999.5598;998.4383999999998;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.6266395779979863;994.6239999999989;999.5518;997.7598;992.2079999999978;999.5518;993.4159999999983;999.5598;998.3342999999998;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.7266349216387802;994.6239999999989;999.5518;997.7598;991.9999999999977;999.5518;993.3119999999983;999.5598;998.2301999999997;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.826630265279574;994.6239999999989;999.5518;997.7598;991.7919999999976;999.5518;993.2079999999983;999.5598;998.1260999999997;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
1.926625608920368;994.6239999999989;999.5518;997.7598;991.5839999999976;999.5518;993.1039999999982;999.5598;998.0219999999997;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
2.0000000000000004;994.6239999999989;999.5518;997.7598;991.3759999999975;999.5518;992.9999999999982;999.5598;997.9179999999997;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;999.5518;
2.1266162962019557;992.0319999999988;999.3357;996.6797;988.9919999999972;999.3357;990.511999999998;999.3357;997.8137999999997;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.2266116398427496;992.0319999999988;999.3357;996.6797;988.7839999999971;999.3357;990.407999999998;999.3357;997.7096999999997;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.3266069834835434;992.0319999999988;999.3357;996.6797;988.5759999999971;999.3357;990.3039999999979;999.3357;997.6055999999996;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.4266023271243373;992.0319999999988;999.3357;996.6797;988.367999999997;999.3357;990.1999999999979;999.3357;997.5014999999996;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.526597670765131;992.0319999999988;999.3357;996.6797;988.1599999999969;999.3357;990.0959999999978;999.3357;997.3973999999996;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.626593014405925;992.0319999999988;999.3357;996.6797;987.9519999999968;999.3357;989.9919999999978;999.3357;997.2932999999996;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.726588358046719;992.0319999999988;999.3357;996.6797;987.7439999999967;999.3357;989.8879999999978;999.3357;997.1891999999996;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.826583701687513;992.0319999999988;999.3357;996.6797;987.5359999999966;999.3357;989.7839999999977;999.3357;997.0850999999996;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
2.9265790453283067;992.0319999999988;999.3357;996.6797;987.3279999999966;999.3357;989.6799999999977;999.3357;996.9809999999995;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
3.026564625551023;992.0319999999988;999.3357;996.6797;987.1199999999965;999.3356;989.5759999999976;999.3357;996.8769999999995;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;999.3357;
3.1265697326098913;989.4399999999987;999.1196;995.5996;984.7519999999963;999.1196;987.0959999999975;999.1196;996.7727999999995;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.2265650762506852;989.4399999999987;999.1196;995.5996;984.5439999999962;999.1196;986.9919999999975;999.1196;996.6686999999995;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.326560419891479;989.4399999999987;999.1196;995.5996;984.3359999999961;999.1196;986.8879999999974;999.1196;996.5645999999995;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.426555763532273;989.4399999999987;999.1196;995.5996;984.1279999999961;999.1196;986.7839999999974;999.1196;996.4604999999995;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.526551107173067;989.4399999999987;999.1196;995.5996;983.919999999996;999.1196;986.6799999999973;999.1196;996.3563999999994;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.6265464508138607;989.4399999999987;999.1196;995.5996;983.7119999999959;999.1196;986.5759999999973;999.1196;996.2522999999994;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.7265417944546546;989.4399999999987;999.1196;995.5996;983.5039999999958;999.1196;986.4719999999973;999.1196;996.1481999999994;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.8265371380954485;989.4399999999987;999.1196;995.5996;983.2959999999957;999.1196;986.3679999999972;999.1196;996.0440999999994;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
3.9265324817362424;989.4399999999987;999.1196;995.5996;983.0879999999956;999.1196;986.2639999999972;999.1196;995.9399999999994;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
4.026527825377036;989.4399999999987;999.1196;995.5996;982.8799999999956;999.1196;986.1599999999971;999.1196;995.8358999999994;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;999.1196;
