Time (Sec);S11;S12;S14;S26;S3;S38;S4;S40;S41;S42;S43;S44;S45;S5;S53;S8;
0.0;1000.0;999.9999;999.9999;999.9999;1000.0;999.9999;1000.0;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;999.9999;
1.0;999.9384000000003;999.9119000000001;999.3839;999.3839;999.9296000000004;999.9119000000001;999.9824000000001;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
2.0;999.9296000000004;999.9119000000001;999.3839;999.3839;999.9208000000004;999.9119000000001;999.9648000000002;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
3.0000000000000004;999.9208000000004;999.9119000000001;999.3839;999.3839;999.9120000000005;999.9119000000001;999.9472000000003;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
3.0051692253410813;999.9208000000004;999.9119000000001;999.3839;999.3839;999.9120000000005;999.9119000000001;999.9472000000003;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
4.0;999.9120000000005;999.9119000000001;999.3839;999.3839;999.9032000000005;999.9119000000001;999.9296000000004;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
5.0;999.9032000000005;999.9119000000001;999.3839;999.3839;999.8944000000006;999.9119000000001;999.9120000000005;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
5.005020579705415;999.9032000000005;999.9119000000001;999.3839;999.3839;999.8944000000006;999.9119000000001;999.9120000000005;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
6.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8856000000006;999.9119000000001;999.8944000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
7.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
7.004871934069749;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
8.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
9.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
10.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
11.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
12.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
13.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
14.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
15.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
16.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
17.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
18.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
19.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
20.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
21.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
22.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
23.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
24.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
25.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
26.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
27.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
28.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
29.0;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9119000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
29.99950458979935;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.9118000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
29.99950458979935;999.8944000000006;999.9119000000001;999.3839;999.3839;999.8768000000007;999.8238000000001;999.8856000000006;999.9119000000001;999.3839;999.3839;999.3839;999.3839;999.3839;999.3839;999.7359;999.3839;
